P-521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
11.93,16.03,6.87,48.95,40.23
11.95,16.14,6.77,48.6,39.79
11.92,16.07,7.08,48.95,39.44
11.94,16.07,6.79,48.84,39.57
11.84,15.99,7.02,48.43,39.75
11.86,16.09,6.8,48.67,39.55
11.85,16.11,6.76,48.63,39.53
11.98,16.0,6.92,49.52,39.66
11.84,15.85,6.79,48.82,39.61
11.99,16.02,6.88,48.74,39.82
11.88,15.96,6.88,48.45,39.51
12.01,16.14,6.9,48.78,39.74
11.96,16.26,6.83,49.41,39.85
11.98,16.11,6.89,49.09,39.62
12.0,16.12,6.81,49.02,39.75
11.83,16.09,6.81,49.17,39.5
11.82,16.04,6.84,49.1,39.55
12.06,16.19,6.77,49.18,39.39
11.88,15.99,6.77,49.21,39.84
12.01,16.15,7.05,49.3,39.57
12.02,15.91,6.8,48.95,39.37
11.94,16.03,6.94,48.7,39.47
12.1,16.08,6.83,48.86,39.55
11.99,16.02,6.87,48.37,39.67
11.85,16.01,6.83,48.68,39.52
11.89,16.09,7.0,48.8,39.7
11.93,16.29,6.87,48.68,39.44
12.02,15.98,7.08,48.61,39.63
11.84,16.03,7.03,48.57,40.05
11.89,16.2,6.89,48.98,40.27
11.88,16.02,6.95,48.49,39.8
11.98,15.97,6.92,48.72,39.6
11.9,16.38,6.95,48.61,39.99
11.94,15.99,6.87,48.65,39.75
11.98,16.03,7.0,48.62,39.71
12.03,15.99,6.83,48.51,40.11
12.0,16.02,6.93,48.21,39.67
11.87,15.98,6.88,48.78,39.43
11.82,15.93,6.8,48.94,39.66
12.05,16.29,6.86,48.3,39.63
11.98,15.96,6.93,48.45,39.76
11.89,16.03,6.84,48.34,39.96
11.99,16.03,6.88,48.44,39.56
11.88,15.94,6.93,48.92,39.56
12.29,16.08,6.86,48.54,39.88
11.99,15.98,6.91,48.61,41.09
12.49,15.94,6.95,48.65,40.75
12.01,16.1,6.9,48.34,39.84
11.86,16.09,6.9,48.7,39.73
11.96,15.93,6.99,48.39,39.86
11.81,15.93,7.09,48.84,39.75
11.97,15.99,6.94,48.59,40.01
12.58,15.99,6.96,48.53,39.72
11.94,16.21,6.94,48.69,39.88
11.93,16.07,6.89,49.15,40.11
11.94,16.07,7.03,48.59,39.73
11.88,16.23,6.82,48.58,40.07
11.8,15.98,6.92,48.33,39.83
11.96,16.0,6.89,48.35,40.1
12.06,16.01,6.95,48.8,39.99
11.79,16.03,6.83,48.64,39.74
11.89,16.14,6.91,48.28,39.67
12.0,16.03,6.88,48.68,39.69
11.84,16.11,6.86,48.67,40.24
11.94,15.94,6.95,48.78,39.69
11.97,16.09,6.89,48.44,39.83
